frame_index,time_seconds,mse_surprise_score
0,0.0,0.0
1,0.025,0.0
2,0.05,0.0
3,0.075,0.0
4,0.1,0.0
5,0.125,0.05350367724895477
6,0.15,0.0393088273704052
7,0.175,0.030095821246504784
8,0.2,0.02187156118452549
9,0.225,0.01442065928131342
10,0.25,0.012117357924580574
11,0.275,0.010324849747121334
12,0.3,0.00890254881232977
13,0.325,0.006631650496274233
14,0.35,0.005874403286725283
15,0.375,0.005239822901785374
16,0.4,0.004702777601778507
17,0.425,0.0038496654015034437
18,0.45,0.003507649526000023
19,0.475,0.003209267510101199
20,0.5,0.16355177760124207
21,0.525,0.27805888652801514
22,0.55,0.207981675863266
23,0.575,0.2070816457271576
24,0.6,0.2568286061286926
25,0.625,0.006978820543736219
26,0.65,0.00654945895075798
27,0.675,0.006158535834401846
28,0.7,0.00580159667879343
29,0.725,0.005174881778657436
30,0.75,0.004898937419056892
31,0.775,0.004644491709768772
32,0.8,0.004409365821629763
33,0.825,0.00398967694491148
34,0.85,0.003801952814683318
35,0.875,0.003627174999564886
36,0.9,0.0034641758538782597
37,0.925,0.0031694918870925903
38,0.95,0.003036055713891983
39,0.975,0.0029108698945492506
40,1.0,0.002793272491544485
41,1.025,0.002578487154096365
42,1.05,0.16948920488357544
43,1.075,0.25102195143699646
44,1.1,0.21083886921405792
45,1.125,0.20741362869739532
46,1.15,0.2568042576313019
47,1.175,0.005168348550796509
48,1.2,0.004994635004550219
49,1.225,0.004672487732023001
50,1.25,0.0045229773968458176
51,1.275,0.004380527883768082
52,1.3,0.004244707524776459
53,1.325,0.003991349600255489
54,1.35,0.0038730953820049763
55,1.375,0.0037600179202854633
56,1.4,0.003651821054518223
57,1.425,0.0034489831887185574
58,1.45,0.0033538429997861385
59,1.475,0.0032625868916511536
60,1.5,0.0031750036869198084
61,1.525,0.003010097425431013
62,1.55,0.0029324206989258528
63,1.575,0.002857712097465992
64,1.6,0.16353195905685425
65,1.625,0.2312314212322235
66,1.65,0.2084898054599762
67,1.675,0.20950618386268616
68,1.7,0.2594737410545349
69,1.725,0.004069976508617401
70,1.75,0.003976951353251934
71,1.775,0.0038870791904628277
72,1.8,0.0038002203218638897
73,1.825,0.0036350125446915627
74,1.85,0.0035564200952649117
75,1.875,0.003480349900200963
76,1.9,0.0034066943917423487
77,1.925,0.0032662260346114635
78,1.95,0.003199229948222637
79,1.975,0.003134272526949644
80,2.0,0.00307127321138978
81,2.025,0.002950843656435609
82,2.05,0.0028932662680745125
83,2.075,0.0028373596724122763
84,2.1,0.0027830565813928843
85,2.125,0.0026790271513164043
86,2.15,0.1637023538351059
87,2.175,0.27691948413848877
88,2.2,0.2098057121038437
89,2.225,0.20907112956047058
90,2.25,0.25010091066360474
91,2.275,0.003917265683412552
92,2.3,0.003848843276500702
93,2.325,0.003717268817126751
94,2.35,0.0036539961583912373
95,2.375,0.0035923277027904987
96,2.4,0.003532205242663622
97,2.425,0.0034164050593972206
98,2.45,0.003360627917572856
99,2.475,0.0033062053844332695
100,2.5,0.003253094619140029
101,2.525,0.003150639124214649
102,2.55,0.003101219655945897
103,2.575,0.0030529522337019444
104,2.6,0.003005803329870105
105,2.625,0.002914723940193653
106,2.65,0.002870727563276887
107,2.675,0.002827721182256937
108,2.7,0.16900815069675446
109,2.725,0.256170392036438
110,2.75,0.20816844701766968
111,2.775,0.2100144773721695
112,2.8,0.2601976990699768
113,2.825,0.0035431361757218838
114,2.85,0.0034934082068502903
115,2.875,0.003444720059633255
116,2.9,0.0033970423974096775
117,2.925,0.003304610960185528
118,2.95,0.003259803634136915
119,2.975,0.0032158996909856796
120,3.0,0.0031728786416351795
121,3.025,0.003089385572820902
122,3.05,0.00304886931553483
123,3.075,0.0030091451480984688
124,3.1,0.002970192115753889
125,3.125,0.002894521690905094
126,3.15,0.002857765881344676
127,3.175,0.0028217057697474957
128,3.2,0.0027863257564604282
129,3.225,0.0026959094684571028
130,3.25,0.1738223433494568
131,3.275,0.24946168065071106
132,3.3,0.20910024642944336
133,3.325,0.2096375823020935
134,3.35,0.259745717048645
135,3.375,0.0035288201179355383
136,3.4,0.0034871825482696295
137,3.425,0.003406088100746274
138,3.45,0.003366597928106785
139,3.475,0.0033277906477451324
140,3.5,0.003289649495854974
141,3.525,0.003215308766812086
142,3.55,0.0031790805514901876
143,3.575,0.0031434609554708004
144,3.6,0.0031084371730685234
145,3.625,0.0030401209369301796
146,3.65,0.00300680473446846
147,3.675,0.0029740342870354652
148,3.7,0.0029417946934700012
149,3.725,0.0028788712806999683
150,3.75,0.002848162781447172
151,3.775,0.0027967728674411774
152,3.8,0.1687851995229721
153,3.825,0.2489897906780243
154,3.85,0.2077343463897705
155,3.875,0.21023476123809814
156,3.9,0.2516571581363678
157,3.925,0.0033247927203774452
158,3.95,0.00329112377949059
159,3.975,0.0032579638063907623
160,4.0,0.0032253023236989975
161,4.025,0.0031614373438060284
162,4.05,0.0031302133575081825
163,4.075,0.0030994496773928404
164,4.1,0.003069136291742325
165,4.125,0.0030098313000053167
166,4.15,0.0029808213002979755
167,4.175,0.002952227368950844
168,4.2,0.002924045780673623
169,4.225,0.002868874464184046
170,4.25,0.002841874025762081
171,4.275,0.0028152524027973413
172,4.3,0.0027693482115864754
173,4.325,0.002694973023608327
174,4.35,0.1688115894794464
175,4.375,0.2493356466293335
176,4.4,0.20875322818756104
177,4.425,0.20992347598075867
178,4.45,0.26013559103012085
179,4.475,0.003340502269566059
180,4.5,0.0033107430208474398
181,4.525,0.0032524066045880318
182,4.55,0.0032238145358860493
183,4.575,0.003195596393197775
184,4.6,0.0031677482184022665
185,4.625,0.0031131331343203783
186,4.65,0.003086353652179241
187,4.675,0.003059918060898781
188,4.7,0.0030338196083903313
189,4.725,0.0029826180543750525
190,4.75,0.002957502380013466
191,4.775,0.00293269963003695
192,4.8,0.0029082109685987234
193,4.825,0.002860140521079302
